,gtaa_buy_signal,sentiment_buy,risk_buy,dm_buy_signal,paa_buy_signal,daa_buy_signal
2013-01-02,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'CMCSA']","['FTNT', 'ANSS']","['FANG', 'ASML', 'WDAY']","['REGN', 'ASML', 'GILD']","['ASML', 'NFLX', 'REGN']"
2013-01-03,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'CMCSA']","['FTNT', 'ANSS']","['FANG', 'ASML', 'WDAY']","['REGN', 'ASML', 'GILD']","['NFLX', 'ASML', 'PANW']"
2013-01-04,"['NVDA', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'CMCSA']","['FTNT', 'ANSS']","['FANG', 'ASML', 'PANW']","['REGN', 'ASML', 'GILD']","['ASML', 'SIRI', 'PANW']"
2013-01-07,"['AMZN', 'META', 'GOOG']","['MSFT', 'INTC', 'EBAY']","['MNST', 'FTNT', 'ANSS']","['FANG', 'PANW', 'AMD']","['REGN', 'ASML', 'GILD']","['NFLX', 'PANW', 'SIRI']"
2013-01-08,"['GOOG', 'GOOGL', 'AMZN']","['INTC', 'MSFT', 'SBUX']","['FTNT', 'ASML', 'ANSS']","['FANG', 'PANW', 'AMD']","['REGN', 'ASML', 'GILD']","['SIRI', 'PANW', 'ASML']"
2013-01-09,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['FTNT', 'EXC', 'ASML']","['FANG', 'META', 'AMD']","['REGN', 'ASML', 'GILD']","['SIRI', 'ASML', 'PANW']"
2013-01-10,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['FTNT', 'EXC', 'ASML']","['FANG', 'ASML', 'WDAY']","['REGN', 'ASML', 'GILD']","['NXPI', 'NFLX', 'ASML']"
2013-01-11,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['FTNT', 'EXC', 'ASML']","['FANG', 'ASML', 'AMD']","['REGN', 'ASML', 'GILD']","['NFLX', 'ASML', 'SIRI']"
2013-01-14,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']","['FTNT', 'EXC', 'EA']","['ASML', 'AMD', 'SIRI']","['REGN', 'ASML', 'EBAY']","['NXPI', 'ASML', 'NFLX']"
2013-01-15,"['META', 'GOOG', 'GOOGL']","['MSFT', 'INTC', 'SBUX']","['EXC', 'PEP', 'FAST']","['PANW', 'AMD', 'SIRI']","['REGN', 'ASML', 'GILD']","['NXPI', 'PANW', 'ASML']"
2013-01-16,"['GOOG', 'GOOGL', 'META']","['MSFT', 'INTC', 'SBUX']","['PEP', 'ASML', 'ANSS']","['PANW', 'ASML', 'SIRI']","['REGN', 'ASML', 'EBAY']","['NXPI', 'ASML', 'PANW']"
2013-01-17,"['GOOG', 'GOOGL', 'EBAY']","['INTC', 'MSFT', 'EXC']","['PEP', 'ANSS']","['ASML', 'PANW', 'SIRI']","['REGN', 'ASML', 'EBAY']","['ASML', 'NXPI', 'MU']"
