,gtaa_buy_signal,sentiment_buy,risk_buy,dm_buy_signal,paa_buy_signal,daa_buy_signal
2013-01-02,"['GOOG', 'GOOGL', 'META', 'AMZN', 'LRCX', 'CSCO', 'CMCSA', 'EBAY', 'MU', 'NFLX']","['MSFT', 'INTC', 'CMCSA', 'TXN', 'SBUX', 'PEP', 'ROST', 'AMGN', 'CDNS', 'AEP']","['MSFT', 'AMGN', 'COST']","['FANG', 'ASML', 'WDAY', 'AMD', 'PANW', 'REGN', 'ENPH', 'MRVL', 'SIRI', 'WBD']","['REGN', 'ASML', 'GILD', 'ILMN', 'NXPI', 'EBAY', 'SIRI', 'CMCSA', 'WBD', 'LULU']","['ASML', 'NFLX', 'REGN', 'PANW', 'SIRI', 'NXPI', 'META', 'ENPH', 'FAST', 'ADBE']"
2013-01-03,"['GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO', 'MU', 'LRCX', 'NFLX', 'EBAY', 'CMCSA']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'ROST', 'TXN', 'PEP', 'COST', 'AMGN', 'CDNS']","['MSFT', 'COST', 'AMGN']","['FANG', 'ASML', 'WDAY', 'PANW', 'AMD', 'ENPH', 'SIRI', 'MRVL', 'GILD', 'META']","['REGN', 'ASML', 'GILD', 'ILMN', 'NXPI', 'SIRI', 'EBAY', 'WBD', 'LULU', 'CMCSA']","['NFLX', 'ASML', 'PANW', 'SIRI', 'REGN', 'META', 'NXPI', 'ENPH', 'FAST', 'MU']"
2013-01-04,"['NVDA', 'GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO', 'CMCSA', 'MU', 'NFLX', 'LRCX']","['MSFT', 'INTC', 'CMCSA', 'SBUX', 'TXN', 'ROST', 'AMGN', 'CDNS', 'AEP', 'COST']","['MSFT', 'AMGN', 'COST']","['FANG', 'ASML', 'PANW', 'WDAY', 'AMD', 'META', 'SIRI', 'GILD', 'REGN', 'MRVL']","['REGN', 'ASML', 'GILD', 'EBAY', 'ILMN', 'SIRI', 'NXPI', 'WBD', 'CMCSA', 'DXCM']","['ASML', 'SIRI', 'PANW', 'NFLX', 'REGN', 'META', 'NXPI', 'ENPH', 'FAST', 'FANG']"
2013-01-07,"['AMZN', 'META', 'GOOG', 'GOOGL', 'NFLX', 'MU', 'CSCO', 'EBAY', 'CMCSA', 'LRCX']","['MSFT', 'INTC', 'EBAY', 'CMCSA', 'QCOM', 'SBUX', 'CDNS', 'ROST', 'AMGN', 'AEP']","['MSFT', 'ROST', 'AMGN', 'COST']","['FANG', 'PANW', 'AMD', 'META', 'WDAY', 'ASML', 'SIRI', 'GILD', 'REGN', 'EBAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM', 'NXPI', 'ILMN', 'WBD', 'SIRI', 'CMCSA']","['NFLX', 'PANW', 'SIRI', 'ASML', 'REGN', 'NXPI', 'META', 'ENPH', 'GILD', 'FANG']"
2013-01-08,"['GOOG', 'GOOGL', 'AMZN', 'META', 'CMCSA', 'CSCO', 'MU', 'EBAY', 'NFLX', 'TSLA']","['INTC', 'MSFT', 'SBUX', 'CDNS', 'AMGN', 'ROST', 'AEP', 'COST', 'BIIB', 'CHTR']","['MSFT', 'AMGN', 'ROST', 'COST']","['FANG', 'PANW', 'AMD', 'META', 'WDAY', 'SIRI', 'GILD', 'WBD', 'EBAY', 'CSGP']","['REGN', 'ASML', 'GILD', 'EBAY', 'ILMN', 'WBD', 'DXCM', 'SIRI', 'CMCSA', 'NXPI']","['SIRI', 'PANW', 'ASML', 'NFLX', 'META', 'WBD', 'ENPH', 'REGN', 'NXPI', 'GILD']"
2013-01-09,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO', 'MU', 'NFLX', 'CMCSA', 'EBAY', 'SBUX']","['MSFT', 'INTC', 'SBUX', 'ROST', 'AMGN', 'CDNS', 'AEP', 'COST', 'CHTR']","['MSFT', 'ROST', 'AMGN', 'COST']","['FANG', 'META', 'AMD', 'WDAY', 'PANW', 'GILD', 'REGN', 'SIRI', 'WBD', 'EBAY']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM', 'ILMN', 'WBD', 'CMCSA', 'SIRI', 'NXPI']","['SIRI', 'ASML', 'PANW', 'REGN', 'NFLX', 'META', 'NXPI', 'WBD', 'GILD', 'ENPH']"
2013-01-10,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO', 'NFLX', 'CMCSA', 'MU', 'EBAY', 'LRCX']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST', 'CDNS', 'AEP']","['MSFT', 'ROST']","['FANG', 'ASML', 'WDAY', 'AMD', 'META', 'GILD', 'SIRI', 'WBD', 'EBAY', 'NXPI']","['REGN', 'ASML', 'GILD', 'EBAY', 'DXCM', 'ILMN', 'NXPI', 'WBD', 'SIRI', 'CMCSA']","['NXPI', 'NFLX', 'ASML', 'SIRI', 'PANW', 'REGN', 'META', 'WBD', 'GILD', 'ON']"
2013-01-11,"['META', 'GOOG', 'GOOGL', 'AMZN', 'AVGO', 'NFLX', 'EBAY', 'MU', 'TSLA', 'CSCO']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'AEP', 'ROST', 'CDNS']","['MSFT', 'ROST']","['FANG', 'ASML', 'AMD', 'WDAY', 'SIRI', 'PANW', 'GILD', 'WBD', 'EBAY', 'NFLX']","['REGN', 'ASML', 'GILD', 'EBAY', 'NXPI', 'WBD', 'SIRI', 'ILMN', 'CMCSA', 'AMZN']","['NFLX', 'ASML', 'SIRI', 'PANW', 'NXPI', 'META', 'WBD', 'MU', 'ENPH', 'REGN']"
2013-01-14,"['GOOG', 'GOOGL', 'META', 'AMZN', 'CSCO', 'AVGO', 'MU', 'EBAY', 'NFLX', 'CMCSA']","['MSFT', 'INTC', 'SBUX', 'GILD', 'AMGN', 'CDNS', 'ROST', 'AEP']","['MSFT', 'GILD', 'ROST']","['ASML', 'AMD', 'SIRI', 'GILD', 'WBD', 'EBAY', 'AMZN', 'CMCSA', 'NXPI', 'DXCM']","['REGN', 'ASML', 'EBAY', 'GILD', 'NXPI', 'WBD', 'CMCSA', 'AMZN', 'SIRI', 'ILMN']","['NXPI', 'ASML', 'NFLX', 'PANW', 'META', 'SIRI', 'MU', 'WBD', 'REGN', 'ENPH']"
2013-01-15,"['META', 'GOOG', 'GOOGL', 'AMZN', 'CSCO', 'CMCSA', 'TSLA', 'EBAY', 'MU', 'LRCX']","['MSFT', 'INTC', 'SBUX', 'AMGN', 'ROST', 'CDNS', 'AEP']","['MSFT', 'ROST']","['PANW', 'AMD', 'SIRI', 'GILD', 'WDAY', 'META', 'WBD', 'EBAY', 'CMCSA', 'AMZN']","['REGN', 'ASML', 'GILD', 'EBAY', 'NXPI', 'CMCSA', 'WBD', 'AMZN', 'SIRI', 'TSLA']","['NXPI', 'PANW', 'ASML', 'NFLX', 'META', 'MU', 'SIRI', 'ENPH', 'GILD', 'WBD']"
