date,model,GTAA,DM,PAA,DAA,Sentiment,risk,n_weight,dji
2019-01-02,9990342.25191421,9990000.135992788,9990000.27046148,9990000.950263789,9992000.42247747,9990000.475280453,9990000.372845577,9990336.263506621,1000000.0
2019-01-03,9784851.239737684,9705997.802718895,9720824.46063139,9778751.759618426,9810076.92649257,9757154.113551581,9934413.040573122,9784537.993598733,966397.6420776995
2019-01-04,10129227.303454002,9976781.380497267,10234230.996854138,10147155.53653566,10034375.706441157,10164329.042581009,10217396.613684338,10129050.620389003,1009715.6212198883
2019-01-07,10313071.002067097,10236046.840157313,10675638.41726392,10255066.073951205,10129743.453695243,10272414.075305007,10311083.324750902,10313340.786938341,1020025.5437488515
2019-01-08,10372666.412956664,10282802.094018098,10754431.222413402,10307810.515874889,10159867.417317286,10319405.268753167,10413539.834587395,10372985.815040465,1030024.1911798684
2019-01-09,10441217.180510644,10327807.37545314,10996551.5431453,10434960.12296502,10249445.92542557,10290415.948302737,10352981.677208051,10442036.187545214,1037702.3614380587
2019-01-10,10502697.501936378,10406800.532886691,11004852.637056585,10497310.839239907,10300504.493299065,10366182.039065732,10445538.45469348,10503540.952293865,1040885.8881611219
2019-01-11,10522545.956611918,10407638.718747115,11078764.390679775,10469724.071588464,10320099.526902243,10394824.315885015,10467497.4579028,10523100.870812206,1037813.9752462989
2019-01-14,10449703.53266373,10315026.79201073,11064774.367852138,10390772.289225118,10243683.995634537,10303858.30377807,10383343.398567501,10450252.748918436,1028324.728937346
2019-01-15,10604081.846712379,10482689.556887649,11367971.97827528,10563765.077852536,10327593.945474163,10424212.747800378,10464454.322562931,10605126.569649434,1048542.1041214052
2019-01-16,10561727.743141696,10378079.77306546,11400162.363391215,10507643.764879087,10278949.931853231,10387199.931737382,10423171.000599936,10562546.6172084,1048372.3037473838
2019-01-17,10692629.807237597,10482213.351778563,11574556.934806446,10638743.686133355,10374828.068708744,10522638.763089446,10567765.806848789,10693471.12737319,1056215.5918195522
2019-01-18,10796098.764988365,10534386.00801467,11592932.777026637,10818971.098823363,10467411.947619667,10691654.889898235,10676359.008464387,10796966.369660493,1066616.632361157
2019-01-22,10686976.544908354,10475470.528759731,11424101.280747062,10645380.174559575,10409758.801249588,10524825.69894507,10646392.666271826,10687666.856415654,1044952.9602300196
2019-01-23,10696314.807989141,10534401.871220982,11372295.979004001,10651197.081967603,10425236.09606989,10528447.107419468,10671032.997874273,10697113.654948771,1046831.5879666497
2019-01-24,10743863.284837099,10566757.494797446,11458612.651646776,10645642.480643759,10436240.811115295,10674926.279137366,10683027.309752539,10744214.187083341,1053715.8723893384
2019-01-25,10830079.014389511,10666453.576488962,11577063.613984538,10699528.34621429,10556903.08756218,10790750.83596651,10690178.096012203,10830158.139325488,1067050.5751795762
2019-01-28,10697810.484514683,10506510.361730503,11384775.500031864,10640423.329251915,10490846.082682978,10578863.797799082,10587449.885799287,10698154.471689835,1052857.5053991454
2019-01-29,10683001.74487848,10446298.228641488,11282964.656823583,10587209.24332708,10479128.283112656,10591249.397150487,10710409.741382921,10682886.114863023,1042748.8561887555
2019-01-30,10899501.761125302,10795309.33842265,11627765.037750589,10780392.294670245,10613303.328196887,10860037.253075965,10722248.363721732,10899854.94404736,1070279.6992906
2019-01-31,11130525.628706835,11061760.887129037,11838586.433750872,11002533.724775823,10741831.629910719,11128285.587558748,10997247.161657538,11131146.62074022,1085832.553802231
2019-02-01,11142908.952556942,10997861.186833639,11877876.675176252,11000575.699521193,10767639.876658306,11166956.163018884,11032786.748807304,11143109.736855537,1080908.7267720075
2019-02-04,11196026.509102702,11078011.36546299,11927946.558476172,11066163.56241714,10826880.56355897,11200388.13354284,11063465.119252598,11196412.892057413,1094183.6309675965
2019-02-05,11265720.583385764,11148652.170996765,12023451.678642143,11158719.466903675,10868375.817788923,11231271.941484384,11153917.389419034,11266421.0286204,1104175.9838097033
2019-02-06,11230546.191254966,11083663.651619311,11964918.149408128,10978810.099116394,10775389.067158032,11327358.756521245,11236636.426002275,11230227.734170673,1100104.2291807623
2019-02-07,11153637.959562883,10962549.61111966,11954264.82196101,10861871.61384486,10720312.64655853,11214013.68419584,11195157.420177681,11153038.127996204,1085540.1624710162
2019-02-08,11221567.20427266,10983244.66370885,12063071.569172457,11080122.918290647,10771710.648033308,11230254.446006348,11195055.21989209,11221770.280825306,1086821.4183673954
2019-02-11,11301410.697835518,10963588.602480214,12219579.223274106,11131309.892793603,10890826.667901935,11330056.446046326,11268131.35554051,11301012.929805238,1086200.4802003705
2019-02-12,11426896.641353335,11081788.336718861,12360815.601974273,11349388.123889975,11048163.759815086,11378967.3582457,11340276.498211987,11427058.322361326,1102784.6493706717
2019-02-13,11417447.48650892,11083960.963007316,12313377.250993762,11341859.979900502,10953677.090875695,11426188.793797977,11383079.468773998,11417732.333827263,1102974.868777012
2019-02-14,11440568.366652396,11122844.110947033,12320322.202545399,11375729.106512,10987938.209125739,11456389.560587244,11376654.493793039,11440901.128294496,1104003.0361412265
2019-02-15,11526334.172838518,11160638.473378135,12407740.10685544,11536056.814268306,11047581.640547698,11524891.802160766,11479315.868780922,11527002.557775734,1109153.3148456651
2019-02-19,11524130.24801058,11180739.861896498,12402288.033583317,11518256.69521411,11055011.125456152,11502276.369713342,11483997.863830995,11524818.867188346,1110950.1896897398
2019-02-20,11473388.97364233,11184761.590265708,12301636.077342533,11437144.407993343,10946840.700413896,11489703.255924331,11476052.508389508,11474145.666276168,1110278.8948114316
2019-02-21,11467288.412741952,11152944.033011034,12319454.992468167,11345309.631336043,10951461.802299757,11532934.2335452,11495205.168164639,11467380.471100915,1106005.943627197
2019-02-22,11592253.210543845,11268287.807949455,12417603.516725654,11443338.018657666,11081851.455974815,11688197.02711727,11643312.182268776,11592068.56295431,1114726.4056930104
2019-02-25,11655284.236852923,11324241.821214462,12479198.858002137,11467174.982392404,11196890.379035667,11768283.995664464,11681390.571888978,11654684.636105392,1118625.2894167542
2019-02-26,11638093.739992417,11328804.807950936,12437136.918166535,11489586.55639536,11187494.297364691,11726578.783446217,11644389.774833981,11637794.933866847,1119849.9707762196
2019-02-27,11762756.739191746,11264817.184812224,12568223.683654603,11737436.278111573,11630850.249589777,11725793.22086888,11625862.104374684,11761868.013528766,1118872.0833600084
2019-02-28,11772113.19424539,11265815.19222509,12539877.134899326,11625181.535472352,11620080.693132194,11866319.05205108,11684209.783747984,11770278.7060785,1115811.147594139
2019-03-01,11841675.916766094,11326181.949964954,12605139.235000161,11599609.593311926,11713125.911178852,11968254.309171421,11795755.712492844,11839180.8806245,1124306.8467778843
2019-03-04,11742418.821654709,11329887.965965599,12370121.722774135,11477843.353577625,11615983.016755914,11874823.375400642,11732697.58395837,11740084.484414384,1124190.5504096013
2019-03-05,11733432.80174585,11335009.626780216,12459912.357329704,11515832.552329786,11580943.239156103,11708893.403621612,11755567.581428213,11731895.169021405,1125127.5229978948
